Pivot Type,Pivot Value (a),Date (a),Pivot Value (b),Date (b),Pivot Value (c),Date (c),OP,XOP,COP
High,27636.0,10-05-2023 01:00,27564.0,10-05-2023 04:00,27685.2,10-05-2023 06:00,27613.2,27640.7,27568.7
Low,27564.0,10-05-2023 04:00,27685.2,10-05-2023 06:00,27668.8,10-05-2023 08:00,27790.0,27743.7,27864.9
High,27685.2,10-05-2023 06:00,27668.8,10-05-2023 08:00,27646.1,10-05-2023 11:00,27629.7,27635.96,27619.56
Low,27668.8,10-05-2023 08:00,27646.1,10-05-2023 11:00,27579.2,10-05-2023 16:00,27556.5,27565.17,27542.47
High,27646.1,10-05-2023 11:00,27579.2,10-05-2023 16:00,28166.6,10-05-2023 20:00,28099.7,28125.26,28058.36
Low,27579.2,10-05-2023 16:00,28166.6,10-05-2023 20:00,27481.1,10-05-2023 23:00,28068.5,27844.11,28431.51
High,28166.6,10-05-2023 20:00,27481.1,10-05-2023 23:00,27848.3,11-05-2023 00:00,27162.8,27424.66,26739.16
Low,27481.1,10-05-2023 23:00,27848.3,11-05-2023 00:00,27497.5,11-05-2023 02:00,27864.7,27724.43,28091.63
High,27848.3,11-05-2023 00:00,27497.5,11-05-2023 02:00,27582.9,11-05-2023 03:00,27232.1,27366.11,27015.31
Low,27497.5,11-05-2023 02:00,27582.9,11-05-2023 03:00,27435.1,11-05-2023 08:00,27520.5,27487.88,27573.28
High,27582.9,11-05-2023 03:00,27435.1,11-05-2023 08:00,27437.5,11-05-2023 11:00,27289.7,27346.16,27198.36
Low,27435.1,11-05-2023 08:00,27437.5,11-05-2023 11:00,27381.9,11-05-2023 13:00,27384.3,27383.38,27385.78
High,27437.5,11-05-2023 11:00,27381.9,11-05-2023 13:00,27385.3,11-05-2023 17:00,27329.7,27350.94,27295.34
Low,27381.9,11-05-2023 13:00,27385.3,11-05-2023 17:00,26894.1,11-05-2023 22:00,26897.5,26896.2,26899.6
High,27385.3,11-05-2023 17:00,26894.1,11-05-2023 22:00,26865.1,12-05-2023 05:00,26373.9,26561.54,26070.34
Low,26894.1,11-05-2023 22:00,26865.1,12-05-2023 05:00,26631.9,12-05-2023 07:00,26602.9,26613.98,26584.98
High,26865.1,12-05-2023 05:00,26631.9,12-05-2023 07:00,26644.6,12-05-2023 09:00,26411.4,26500.48,26267.28
Low,26631.9,12-05-2023 07:00,26644.6,12-05-2023 09:00,26287.2,12-05-2023 10:00,26299.9,26295.05,26307.75
High,26644.6,12-05-2023 09:00,26287.2,12-05-2023 10:00,26294.1,12-05-2023 11:00,25936.7,26073.23,25715.83
Low,26287.2,12-05-2023 10:00,26294.1,12-05-2023 11:00,26277.2,12-05-2023 12:00,26284.1,26281.46,26288.36
High,26294.1,12-05-2023 11:00,26277.2,12-05-2023 12:00,26368.6,12-05-2023 14:00,26351.7,26358.16,26341.26
Low,26277.2,12-05-2023 12:00,26368.6,12-05-2023 14:00,26333.0,12-05-2023 17:00,26424.4,26389.49,26480.89
High,26368.6,12-05-2023 14:00,26333.0,12-05-2023 17:00,26302.1,12-05-2023 19:00,26266.5,26280.1,26244.5
Low,26333.0,12-05-2023 17:00,26302.1,12-05-2023 19:00,26281.5,12-05-2023 20:00,26250.6,26262.4,26231.5
High,26302.1,12-05-2023 19:00,26281.5,12-05-2023 20:00,26818.1,13-05-2023 05:00,26797.5,26805.37,26784.77
Low,26281.5,12-05-2023 20:00,26818.1,13-05-2023 05:00,26767.5,13-05-2023 06:00,27304.1,27099.12,27635.72
High,26818.1,13-05-2023 05:00,26767.5,13-05-2023 06:00,26731.2,13-05-2023 10:00,26680.6,26699.93,26649.33
Low,26767.5,13-05-2023 06:00,26731.2,13-05-2023 10:00,26759.3,13-05-2023 13:00,26723.0,26736.87,26700.57
High,26731.2,13-05-2023 10:00,26759.3,13-05-2023 13:00,26809.4,13-05-2023 17:00,26837.5,26826.77,26854.87
Low,26759.3,13-05-2023 13:00,26809.4,13-05-2023 17:00,26780.9,13-05-2023 21:00,26831.0,26811.86,26861.96
High,26809.4,13-05-2023 17:00,26780.9,13-05-2023 21:00,26762.7,14-05-2023 03:00,26734.2,26745.09,26716.59
Low,26780.9,13-05-2023 21:00,26762.7,14-05-2023 03:00,26731.4,14-05-2023 07:00,26713.2,26720.15,26701.95
High,26762.7,14-05-2023 03:00,26731.4,14-05-2023 07:00,26831.8,14-05-2023 12:00,26800.5,26812.46,26781.16
Low,26731.4,14-05-2023 07:00,26831.8,14-05-2023 12:00,26861.1,14-05-2023 18:00,26961.5,26923.15,27023.55
High,26831.8,14-05-2023 12:00,26861.1,14-05-2023 18:00,27071.4,14-05-2023 22:00,27100.7,27089.51,27118.81
Low,26861.1,14-05-2023 18:00,27071.4,14-05-2023 22:00,26865.0,15-05-2023 00:00,27075.3,26994.97,27205.27
High,27071.4,14-05-2023 22:00,26865.0,15-05-2023 00:00,26895.9,15-05-2023 03:00,26689.5,26768.34,26561.94
Low,26865.0,15-05-2023 00:00,26895.9,15-05-2023 03:00,26787.8,15-05-2023 04:00,26818.7,26806.9,26837.8
High,26895.9,15-05-2023 03:00,26787.8,15-05-2023 04:00,27493.0,15-05-2023 22:00,27384.9,27426.19,27318.09
Low,26787.8,15-05-2023 04:00,27493.0,15-05-2023 22:00,27008.9,16-05-2023 08:00,27714.1,27444.71,28149.91
High,27493.0,15-05-2023 22:00,27008.9,16-05-2023 08:00,27050.1,16-05-2023 09:00,26566.0,26750.93,26266.83
Low,27008.9,16-05-2023 08:00,27050.1,16-05-2023 09:00,27051.2,16-05-2023 11:00,27092.4,27076.66,27117.86
High,27050.1,16-05-2023 09:00,27051.2,16-05-2023 11:00,27190.5,16-05-2023 13:00,27191.6,27191.18,27192.28
Low,27051.2,16-05-2023 11:00,27190.5,16-05-2023 13:00,27001.1,16-05-2023 15:00,27140.4,27087.19,27226.49
High,27190.5,16-05-2023 13:00,27001.1,16-05-2023 15:00,27047.3,16-05-2023 17:00,26857.9,26930.25,26740.85
Low,27001.1,16-05-2023 15:00,27047.3,16-05-2023 17:00,26973.9,16-05-2023 19:00,27020.1,27002.45,27048.65
High,27047.3,16-05-2023 17:00,26973.9,16-05-2023 19:00,27043.6,16-05-2023 20:00,26970.2,26998.24,26924.84
